id,baseline/000,baseline/001,baseline/002,baseline/003,baseline/004,baseline/005,baseline/006,baseline/007,baseline/008,baseline/009,baseline/010,baseline/011,baseline/012,holdout/000,holdout/001,holdout/002,holdout/003,holdout/004,holdout/005
./spec/iriq/calibration_spec.rb[1:1:41],29,29,34,37,32,38,37,37,37,37,30,30,32,26,25,26,26,24,24
./spec/iriq/calibration_spec.rb[1:1:42],27,27,33,38,33,37,36,36,35,36,30,30,31,26,24,25,24,24,24
./spec/iriq/calibration_spec.rb[1:1:43],27,29,33,37,31,36,37,36,36,35,31,30,31,25,24,26,24,24,24
./spec/iriq/calibration_spec.rb[1:1:44],29,30,34,39,33,39,37,39,36,38,33,32,34,27,27,28,26,25,27
./spec/iriq/calibration_spec.rb[1:1:45],28,29,34,37,32,39,39,38,37,37,32,32,34,27,25,27,25,26,25
./spec/iriq/calibration_spec.rb[1:1:46],28,29,34,37,32,39,41,37,39,37,32,32,32,27,26,27,24,25,24
./spec/iriq/calibration_spec.rb[1:1:47],28,29,32,37,30,39,74,37,37,37,31,34,31,27,25,27,25,25,25
./spec/iriq/calibration_spec.rb[1:1:48],27,27,33,37,30,36,51,35,142,36,30,31,30,25,23,28,23,23,23
./spec/iriq/calibration_spec.rb[1:1:49],26,27,32,34,30,35,44,34,82,36,32,31,29,24,23,25,24,23,23
./spec/iriq/calibration_spec.rb[1:1:50],27,28,32,34,32,36,40,34,75,37,30,30,29,25,23,25,24,24,22
./spec/iriq/calibration_spec.rb[1:1:51],27,28,32,36,29,35,40,34,68,36,31,30,29,26,23,26,23,23,23
./spec/iriq/calibration_spec.rb[1:1:52],27,28,48,35,31,51,39,35,67,37,32,31,30,25,24,28,24,25,23
./spec/iriq/calibration_spec.rb[1:1:53],27,28,32,35,30,45,37,35,67,35,30,29,29,25,23,26,23,24,24
./spec/iriq/calibration_spec.rb[1:1:54],31,31,36,40,34,46,44,38,77,41,34,34,33,29,28,32,26,27,27
./spec/iriq/calibration_spec.rb[1:1:55],28,27,32,35,30,39,37,35,66,38,30,29,29,25,24,28,26,24,24
./spec/iriq/calibration_spec.rb[1:1:56],30,30,34,38,33,40,45,38,80,38,35,34,33,29,26,28,26,29,26
./spec/iriq/calibration_spec.rb[1:1:57],28,28,31,35,30,37,37,35,65,37,30,29,30,25,24,26,25,25,23
./spec/iriq/calibration_spec.rb[1:1:58],28,31,33,36,32,39,39,36,74,36,32,31,31,26,25,27,27,25,25
./spec/iriq/calibration_spec.rb[1:1:59],23,24,28,31,27,31,33,31,58,31,27,25,26,22,21,22,22,22,21
./spec/iriq/calibration_spec.rb[1:1:60],29,29,34,37,34,39,39,38,69,37,33,32,32,27,25,32,33,25,25
./spec/iriq/calibration_spec.rb[1:1:61],28,29,34,37,34,38,41,37,63,38,33,31,32,26,24,26,27,24,25
./spec/iriq/calibration_spec.rb[1:1:62],29,29,34,36,32,37,38,37,48,36,31,31,33,25,25,26,28,24,24
./spec/iriq/calibration_spec.rb[1:1:63],28,28,33,39,31,38,40,35,46,37,31,30,32,25,24,26,26,24,24
./spec/iriq/calibration_spec.rb[1:1:64],28,30,34,36,31,37,42,36,42,37,31,30,31,26,24,26,26,24,24
./spec/iriq/calibration_spec.rb[1:1:65],29,29,32,36,30,37,36,35,38,53,30,28,30,25,24,25,25,23,25
./spec/iriq/calibration_spec.rb[1:1:66],35,26,30,30,26,31,32,30,32,31,27,26,25,21,21,21,21,20,19
./spec/iriq/calibration_spec.rb[1:1:67],27,28,32,35,32,104,36,34,37,35,30,29,30,25,24,25,23,23,24
./spec/iriq/calibration_spec.rb[1:1:68],27,28,32,36,31,127,41,34,37,49,31,29,30,24,23,24,24,24,23
./spec/iriq/calibration_spec.rb[1:1:69],28,28,31,36,30,80,36,34,38,34,30,29,29,24,22,25,24,23,23
./spec/iriq/calibration_spec.rb[1:1:70],28,28,32,37,31,80,36,34,40,36,31,29,29,27,24,26,27,23,24
./spec/iriq/calibration_spec.rb[1:1:71],27,27,31,36,29,71,35,36,39,35,30,31,29,24,22,24,25,23,28
./spec/iriq/calibration_spec.rb[1:1:72],26,30,34,37,32,84,38,37,39,70,32,29,30,26,23,26,25,25,23
./spec/iriq/calibration_spec.rb[1:1:73],23,24,27,31,25,56,31,30,32,44,26,26,25,20,19,22,21,20,20
./spec/iriq/calibration_spec.rb[1:1:74],28,29,36,36,31,64,37,36,39,80,32,31,31,26,25,26,25,24,25
./spec/iriq/calibration_spec.rb[1:1:75],28,30,33,37,32,44,138,37,39,45,32,36,31,26,24,27,26,24,25
./spec/iriq/calibration_spec.rb[1:1:76],30,30,35,39,33,42,40,38,37,79,32,32,32,25,25,27,26,24,26
./spec/iriq/calibration_spec.rb[1:1:77],28,28,33,37,31,38,38,36,37,55,31,30,32,25,24,26,25,24,25
./spec/iriq/calibration_spec.rb[1:1:78],29,27,33,36,32,38,38,35,38,47,31,32,32,25,24,25,25,24,25
./spec/iriq/calibration_spec.rb[1:1:79],41,28,33,36,31,37,64,33,39,47,31,30,31,26,26,26,25,25,24
./spec/iriq/calibration_spec.rb[1:1:80],28,28,32,37,30,38,51,33,38,41,31,30,31,25,24,25,25,24,25
./spec/iriq/calibration_spec.rb[1:1:81],28,30,34,37,32,38,46,34,39,41,33,30,30,26,24,25,25,26,25
./spec/iriq/calibration_spec.rb[1:1:82],27,28,33,37,30,37,40,33,37,41,31,30,31,25,23,25,23,25,23
./spec/iriq/calibration_spec.rb[1:1:83],28,29,34,40,31,38,40,34,38,40,32,30,32,25,25,25,25,25,24
./spec/iriq/calibration_spec.rb[1:1:84],32,30,35,40,33,41,44,35,42,46,33,33,32,28,27,27,26,28,27
./spec/iriq/calibration_spec.rb[1:1:85],28,29,34,41,32,38,40,34,38,40,32,34,32,25,27,26,26,27,26
./spec/iriq/calibration_spec.rb[1:1:86],27,28,33,37,31,37,39,33,37,38,31,31,30,25,24,26,24,25,24
./spec/iriq/calibration_spec.rb[1:1:87],28,29,34,38,32,37,40,34,37,39,31,30,31,25,25,26,25,26,24
./spec/iriq/calibration_spec.rb[1:1:88],28,27,32,37,31,118,42,34,40,38,33,29,31,27,24,25,24,26,25
./spec/iriq/calibration_spec.rb[1:1:89],28,28,33,36,31,48,38,33,37,38,30,29,31,25,23,27,25,26,24
./spec/iriq/calibration_spec.rb[1:1:90],27,28,32,35,30,44,38,32,36,38,31,29,30,24,24,25,24,24,23
./spec/iriq/calibration_spec.rb[1:1:91],35,28,32,35,30,43,39,33,36,37,33,29,29,25,25,25,23,25,23
./spec/iriq/calibration_spec.rb[1:1:92],23,24,27,31,26,33,32,27,31,32,25,25,26,20,21,23,36,22,19
./spec/iriq/calibration_spec.rb[1:1:93],27,28,33,35,29,40,36,32,35,37,30,29,29,26,24,25,24,25,24
./spec/iriq/calibration_spec.rb[1:1:94],27,27,32,35,30,38,37,31,36,37,29,29,30,27,24,25,24,25,23
./spec/iriq/calibration_spec.rb[1:1:95],28,28,35,36,30,38,37,32,36,37,31,30,31,25,24,26,24,25,24
./spec/iriq/calibration_spec.rb[1:1:96],28,28,32,36,30,37,38,34,37,37,31,29,31,25,23,26,24,24,24
./spec/iriq/calibration_spec.rb[1:1:97],27,27,31,34,30,37,36,31,35,37,29,29,30,24,23,24,24,25,23
./spec/iriq/calibration_spec.rb[1:1:98],27,28,33,36,31,37,37,32,35,38,31,29,31,24,23,25,25,25,24
./spec/iriq/calibration_spec.rb[1:1:99],28,28,33,36,31,40,37,33,36,39,30,30,33,25,24,27,25,26,24
./spec/iriq/calibration_spec.rb[1:1:100],26,28,31,34,30,37,35,31,35,37,31,30,31,24,23,25,24,25,23
./spec/iriq/calibration_spec.rb[1:1:101],27,28,34,34,30,39,36,32,35,36,30,30,31,24,23,24,25,24,23
./spec/iriq/calibration_spec.rb[1:1:102],28,28,32,35,32,37,35,32,36,35,30,29,32,23,23,25,24,25,24
./spec/iriq/calibration_spec.rb[1:1:103],27,27,32,35,30,36,35,32,34,36,30,31,32,24,23,25,23,24,24
./spec/iriq/calibration_spec.rb[1:1:104],28,29,34,36,31,39,38,34,37,41,32,31,34,26,25,27,25,26,25
./spec/iriq/calibration_spec.rb[1:1:105],27,29,32,38,31,37,35,32,35,38,30,29,35,25,24,26,23,25,24
./spec/iriq/calibration_spec.rb[1:1:106],28,30,34,37,32,38,38,34,37,40,35,31,34,25,25,28,25,26,25
./spec/iriq/calibration_spec.rb[1:1:107],28,29,33,36,30,37,37,33,36,37,31,31,32,25,25,27,24,25,25
./spec/iriq/calibration_spec.rb[1:1:108],31,32,38,41,34,43,40,37,40,42,33,33,37,27,29,30,29,27,29
./spec/iriq/calibration_spec.rb[1:1:109],27,27,31,37,30,36,36,35,34,36,32,29,32,23,24,26,24,24,25
./spec/iriq/calibration_spec.rb[1:1:110],27,27,30,35,30,36,34,32,35,35,31,29,31,23,23,27,23,24,23
./spec/iriq/calibration_spec.rb[1:1:111],24,24,27,31,26,31,30,28,30,31,26,26,27,21,20,22,21,21,21
./spec/iriq/calibration_spec.rb[1:1:112],28,30,34,38,32,40,37,34,38,40,32,31,159,25,25,28,25,26,26
./spec/iriq/calibration_spec.rb[1:1:113],27,28,32,146,30,36,35,32,37,36,30,29,90,25,23,28,25,24,24
./spec/iriq/calibration_spec.rb[1:1:114],27,27,32,78,29,36,36,31,36,36,30,7560,68,24,24,27,23,24,24
